Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Sk,Rush Att,Rush Yds,Rush TD,FGM,FGA,Def TD,Opp Pass Cmp,Opp Pass Att,Opp Pass Yds,Opp Pass TD,Opp Int,Opp Sk,Opp Rush Att,Opp Rush Yds,Opp Rush TD,Opp FGM,Opp FGA,Opp Def TD
26,45,208,0,1,5,15,46,0,1,1,0,18,30,166,1,0,5,22,47,0,1,1,0
25,38,216,0,1,3,23,127,3,2,3,0,23,39,183,1,1,1,32,166,2,3,4,0
25,38,244,1,3,5,20,102,1,0,0,0,14,24,216,3,0,4,28,123,1,2,2,1
29,54,275,2,1,5,23,112,0,4,4,0,27,45,361,3,0,3,32,116,0,2,2,0
25,32,405,4,0,0,30,89,1,0,0,0,33,48,319,1,0,1,17,151,1,1,1,0
27,33,347,3,1,1,16,81,0,2,2,0,25,34,378,3,0,0,26,113,1,4,4,0
15,32,179,1,2,3,12,21,0,1,1,0,23,26,378,6,0,1,46,265,2,1,1,0
33,46,272,2,2,4,17,73,0,0,0,0,8,10,97,1,0,1,38,172,3,0,0,0
25,37,366,3,0,1,29,99,0,4,4,0,27,47,276,0,1,1,13,32,0,1,1,0
24,37,242,1,2,1,25,128,1,1,1,0,28,41,155,1,0,4,21,68,0,0,1,1
28,39,313,3,0,1,31,123,1,1,1,0,30,44,370,3,0,1,13,28,0,2,2,0
21,27,173,2,0,2,33,203,1,1,3,0,25,34,310,3,1,4,21,125,1,1,1,0
35,51,395,2,0,5,14,34,0,2,3,0,14,20,160,2,0,4,25,72,1,0,0,0
18,27,158,1,1,1,32,98,0,3,4,2,20,36,174,1,3,3,26,121,0,1,1,1
20,30,234,3,1,6,23,180,1,0,0,0,32,43,362,2,1,1,21,148,1,3,4,0
21,31,249,1,0,3,23,95,0,3,4,0,22,26,259,1,0,0,28,98,2,1,1,0
25,51,313,0,0,3,19,39,0,4,4,0,16,25,189,1,0,3,31,100,1,2,3,0
27,43,310,3,3,1,17,57,0,1,2,0,28,48,237,1,2,3,21,49,1,2,2,0
26,42,291,2,1,4,19,25,0,1,2,0,18,26,312,3,1,0,42,259,2,2,3,0
16,27,120,0,0,0,29,153,1,3,3,0,35,50,282,1,1,2,24,90,0,2,2,0
22,30,245,2,2,0,28,94,0,0,1,0,21,36,287,0,1,1,25,137,1,1,3,0
22,34,191,2,0,2,33,144,1,0,0,0,14,32,223,1,2,1,27,198,1,1,2,0
16,29,137,0,0,4,30,126,1,2,2,0,23,33,178,1,0,4,21,103,0,2,2,0
18,39,142,0,4,7,15,42,0,0,0,0,20,28,255,2,0,2,35,124,2,1,2,2
19,30,237,1,0,3,34,151,3,0,0,0,26,45,241,1,2,1,20,129,1,0,1,0
17,28,121,3,1,3,34,167,0,0,0,0,19,28,119,1,0,4,24,124,1,1,2,0
20,34,180,2,1,1,16,81,1,2,2,0,29,35,274,3,0,4,33,151,1,0,1,0
30,44,436,4,0,2,22,31,0,0,0,0,23,38,178,1,2,3,19,129,0,1,1,0
20,35,187,0,1,2,20,57,0,3,3,0,19,28,265,1,0,3,30,115,2,2,2,0
25,40,329,0,0,3,11,20,1,3,3,0,24,37,258,2,0,2,33,182,0,3,3,0
26,30,261,3,1,1,34,213,1,1,1,0,26,37,208,2,0,1,17,47,1,0,0,0
19,35,305,1,1,3,21,70,1,3,3,0,23,31,169,0,0,4,24,93,0,1,1,0
20,30,204,2,0,0,20,88,0,2,2,0,23,40,249,0,0,9,26,91,1,0,0,0
23,36,241,1,1,1,36,175,1,2,3,0,20,36,240,1,2,2,19,66,1,1,1,0
18,36,175,1,1,3,24,95,0,2,2,0,24,38,254,2,2,2,24,90,0,2,3,0
29,34,304,3,1,0,20,93,0,1,1,0,28,37,300,2,0,1,24,79,1,2,2,0
